circuit_type,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,num_runs
or_tree,64,sbc,cvc5,smt,SAT,0.019466400146484375,0.02079637845357259,0.002621985192611296,0.019105911254882812,0.023816823959350586,3
or_tree,64,sbc_half,gecode,minizinc,SAT,0.1593000888824463,0.1608866055806478,0.004094429532391034,0.157822847366333,0.16553688049316406,3
or_tree,64,sbc_half,chuffed,minizinc,SAT,0.16418170928955078,0.16446447372436523,0.0007086074523440633,0.1639409065246582,0.16527080535888672,3
or_tree,64,sbc_half,z3,smt,SAT,0.017791271209716797,0.01783863703409831,0.000459835357328938,0.01740431785583496,0.018320322036743164,3
or_tree,64,sbc_half,cvc5,smt,SAT,0.016371488571166992,0.016631046930948894,0.0010346540166831174,0.015750885009765625,0.017770767211914062,3
or_tree,128,base,gecode,minizinc,SAT,0.187530517578125,0.1807857354482015,0.015039347185255047,0.16355466842651367,0.19127202033996582,3
or_tree,128,base,chuffed,minizinc,SAT,0.15782928466796875,0.15815043449401855,0.0019005104059830078,0.15643095970153809,0.16019105911254883,3
or_tree,128,base,z3,smt,SAT,0.02317500114440918,0.023195584615071613,0.0009506228125273619,0.022255420684814453,0.02415633201599121,3
or_tree,128,base,cvc5,smt,SAT,0.04155445098876953,0.04391034444173177,0.004168587579608281,0.04145312309265137,0.048723459243774414,3
or_tree,128,sbc,gecode,minizinc,SAT,0.15922784805297852,0.16218105951944986,0.006388203008469481,0.15780377388000488,0.1695115566253662,3
or_tree,128,sbc,chuffed,minizinc,SAT,0.16189885139465332,0.16991551717122397,0.014229607684843359,0.16150283813476562,0.18634486198425293,3
or_tree,128,sbc,z3,smt,SAT,0.021341323852539062,0.020133018493652344,0.002705821098957845,0.01703357696533203,0.022024154663085938,3
or_tree,128,sbc,cvc5,smt,SAT,0.040204763412475586,0.04086653391520182,0.0030707841546475647,0.03818058967590332,0.04421424865722656,3
or_tree,128,sbc_half,gecode,minizinc,SAT,0.16933321952819824,0.16348775227864584,0.010637880034458647,0.15120887756347656,0.1699211597442627,3
or_tree,128,sbc_half,chuffed,minizinc,SAT,0.1572129726409912,0.1571507453918457,0.0011298402898921142,0.1559910774230957,0.1582481861114502,3
or_tree,128,sbc_half,z3,smt,SAT,0.015395641326904297,0.016160090764363606,0.0016002245878555786,0.015085458755493164,0.01799917221069336,3
or_tree,128,sbc_half,cvc5,smt,SAT,0.026518821716308594,0.028203964233398438,0.0036849389098714894,0.025662899017333984,0.032430171966552734,3
or_tree,256,base,gecode,minizinc,SAT,0.16898655891418457,0.17285792032877603,0.007204509357099058,0.16841673851013184,0.18117046356201172,3
or_tree,256,base,chuffed,minizinc,SAT,0.16262125968933105,0.1683537165323893,0.014113776252727413,0.15800809860229492,0.184431791305542,3
or_tree,256,base,z3,smt,SAT,0.02585148811340332,0.026771704355875652,0.0018883647068616315,0.025519847869873047,0.028943777084350586,3
or_tree,256,base,cvc5,smt,SAT,0.07662010192871094,0.07599361737569173,0.0012571413175036601,0.07454633712768555,0.07681441307067871,3
or_tree,256,sbc,gecode,minizinc,SAT,0.16530489921569824,0.16221046447753906,0.005790903724262953,0.15552973747253418,0.16579675674438477,3
