problem,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,par2,num_runs,num_sat,num_unsat,num_timeout,num_error
nqueens,10,base,gecode,minizinc,SAT,0.000318803,0.00032897266666666666,2.2647162081226257e-05,0.000313193,0.000354922,0.00032897266666666666,3,3,0,0,0
nqueens,10,base,chuffed,minizinc,SAT,0.001,0.001,0.0,0.001,0.001,0.001,3,3,0,0,0
nqueens,10,base,z3,smt,SAT,0.02,0.02,0.0,0.02,0.02,0.02,3,3,0,0,0
nqueens,10,base,cvc5,smt,SAT,0.066,0.064,0.0052915026221291815,0.058,0.068,0.064,3,3,0,0,0
nqueens,10,sbc,gecode,minizinc,SAT,0.000239153,0.00025888666666666664,3.42845557406441e-05,0.000239032,0.000298475,0.00025888666666666664,3,3,0,0,0
nqueens,10,sbc,chuffed,minizinc,SAT,0.001,0.001,0.0,0.001,0.001,0.001,3,3,0,0,0
nqueens,10,sbc,z3,smt,SAT,0.02,0.02,0.0,0.02,0.02,0.02,3,3,0,0,0
nqueens,10,sbc,cvc5,smt,SAT,0.015,0.014333333333333333,0.0011547005383792516,0.013,0.015,0.014333333333333333,3,3,0,0,0
nqueens,20,base,gecode,minizinc,SAT,0.000460312,0.0004624226666666667,6.139422312671871e-06,0.000457617,0.000469339,0.0004624226666666667,3,3,0,0,0
nqueens,20,base,chuffed,minizinc,SAT,0.002,0.0023333333333333335,0.0005773502691896258,0.002,0.003,0.0023333333333333335,3,3,0,0,0
nqueens,20,base,z3,smt,SAT,0.17,0.17,0.020000000000000004,0.15,0.19,0.17,3,3,0,0,0
nqueens,20,base,cvc5,smt,SAT,0.434,0.4256666666666667,0.020792626898334245,0.402,0.441,0.4256666666666667,3,3,0,0,0
nqueens,20,sbc,gecode,minizinc,SAT,0.000680629,0.0006523983333333333,7.903355334497707e-05,0.000563126,0.00071344,0.0006523983333333333,3,3,0,0,0
nqueens,20,sbc,chuffed,minizinc,SAT,0.003,0.0026666666666666666,0.0005773502691896258,0.002,0.003,0.0026666666666666666,3,3,0,0,0
nqueens,20,sbc,z3,smt,SAT,0.3,0.30333333333333334,0.01527525231651948,0.29,0.32,0.30333333333333334,3,3,0,0,0
nqueens,20,sbc,cvc5,smt,SAT,0.137,0.137,0.011999999999999997,0.125,0.149,0.137,3,3,0,0,0
nqueens,30,base,gecode,minizinc,SAT,0.000654579,0.000629114,5.551023411047736e-05,0.00056544,0.000667323,0.000629114,3,3,0,0,0
nqueens,30,base,chuffed,minizinc,SAT,0.013,0.012666666666666666,0.0005773502691896253,0.012,0.013,0.012666666666666666,3,3,0,0,0
nqueens,30,base,z3,smt,SAT,0.58,0.5966666666666667,0.028867513459481315,0.58,0.63,0.5966666666666667,3,3,0,0,0
nqueens,30,base,cvc5,smt,SAT,1.41,1.3953333333333333,0.1595065306917974,1.229,1.547,1.3953333333333333,3,3,0,0,0
nqueens,30,sbc,gecode,minizinc,SAT,0.000518532,0.0004806466666666667,7.828146228407679e-05,0.00039063,0.000532778,0.0004806466666666667,3,3,0,0,0
nqueens,30,sbc,chuffed,minizinc,SAT,0.046,0.046,0.0010000000000000009,0.045,0.047,0.046,3,3,0,0,0
nqueens,30,sbc,z3,smt,SAT,1.71,1.7066666666666666,0.025166114784235853,1.68,1.73,1.7066666666666666,3,3,0,0,0
nqueens,30,sbc,cvc5,smt,SAT,0.879,0.88,0.03551056180912944,0.845,0.916,0.88,3,3,0,0,0
nqueens,40,base,gecode,minizinc,SAT,0.000757094,0.0007692533333333333,2.641105604350822e-05,0.000751112,0.000799554,0.0007692533333333333,3,3,0,0,0
nqueens,40,base,chuffed,minizinc,SAT,0.129,0.12166666666666667,0.01721433511156715,0.102,0.134,0.12166666666666667,3,3,0,0,0
nqueens,40,base,z3,smt,SAT,32.76,32.70666666666666,0.5021288015373478,32.18,33.18,32.70666666666666,3,3,0,0,0
nqueens,40,base,cvc5,smt,SAT,3.143,3.1266666666666665,0.094563911368626,3.025,3.212,3.1266666666666665,3,3,0,0,0
nqueens,40,sbc,gecode,minizinc,SAT,0.00108847,0.0011049066666666666,3.15577285832383e-05,0.00108496,0.00114129,0.0011049066666666666,3,3,0,0,0
nqueens,40,sbc,chuffed,minizinc,SAT,0.162,0.16233333333333333,0.0025166114784235857,0.16,0.165,0.16233333333333333,3,3,0,0,0
nqueens,40,sbc,z3,smt,SAT,13.16,13.26,0.21794494717703372,13.11,13.51,13.26,3,3,0,0,0
nqueens,40,sbc,cvc5,smt,SAT,3.297,3.356,0.1181228174401542,3.279,3.492,3.356,3,3,0,0,0
nqueens,50,base,gecode,minizinc,SAT,0.00319679,0.00318662,0.00010024266905863995,0.00308168,0.00328139,0.00318662,3,3,0,0,0
nqueens,50,base,chuffed,minizinc,SAT,0.107,0.10866666666666666,0.005686240703077332,0.104,0.115,0.10866666666666666,3,3,0,0,0
nqueens,50,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
nqueens,50,base,cvc5,smt,SAT,13.569,13.974333333333334,2.0561851408210625,12.151,16.203,13.974333333333334,3,3,0,0,0
nqueens,50,sbc,gecode,minizinc,SAT,0.00117561,0.0011633633333333333,4.7713688112881524e-05,0.00111072,0.00120376,0.0011633633333333333,3,3,0,0,0
nqueens,50,sbc,chuffed,minizinc,SAT,0.046,0.044,0.0052915026221291815,0.038,0.048,0.044,3,3,0,0,0
nqueens,50,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
nqueens,50,sbc,cvc5,smt,SAT,9.998,9.839333333333332,0.5921632657750173,9.184,10.336,9.839333333333332,3,3,0,0,0
nqueens,60,base,gecode,minizinc,SAT,0.00378289,0.004414083333333333,0.0011936234657685535,0.00366858,0.00579078,0.004414083333333333,3,3,0,0,0
nqueens,60,base,chuffed,minizinc,SAT,0.142,0.14166666666666666,0.0005773502691896262,0.141,0.142,0.14166666666666666,3,3,0,0,0
nqueens,60,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
nqueens,60,base,cvc5,smt,SAT,22.614,22.930333333333333,0.6122142871032433,22.541,23.636,22.930333333333333,3,3,0,0,0
nqueens,60,sbc,gecode,minizinc,SAT,0.0026864,0.00275547,0.00012388298470734395,0.00268152,0.00289849,0.00275547,3,3,0,0,0
nqueens,60,sbc,chuffed,minizinc,SAT,0.101,0.10233333333333333,0.002309401076758497,0.101,0.105,0.10233333333333333,3,3,0,0,0
